trial	healthy_deploy	healthy_terminal	healthy_target	healthy_peer	failure_deploy	failure_terminal	failure_target	failure_peer	cleanup
89	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
90	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
91	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
92	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
93	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
94	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
95	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
96	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
97	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
98	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
99	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
100	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
